date,weekend,value,quarter,month,day
2017-08-18,0,37.583,3,8,18
2017-08-19,1,47.013,3,8,19
2017-08-20,1,46.196,3,8,20
2017-08-21,0,36.616,3,8,21
2017-08-22,0,36.494,3,8,22
2017-08-23,0,31.535,3,8,23
2017-08-24,0,31.359,3,8,24
2017-08-25,0,28.596,3,8,25
2017-08-26,1,18.811,3,8,26
2017-08-27,1,20.477,3,8,27
2017-08-28,0,19.506999999999998,3,8,28
2017-08-29,0,23.116,3,8,29
2017-08-30,0,25.931,3,8,30
2017-08-31,0,27.518,3,8,31
2017-09-01,0,9.881,3,9,1
2017-09-02,1,9.125,3,9,2
2017-09-03,1,11.354,3,9,3
2017-09-04,0,19.294,3,9,4
2017-09-05,0,15.209,3,9,5
2017-09-06,0,23.069,3,9,6
2017-09-07,0,48.721,3,9,7
2017-09-08,0,14.36,3,9,8
2017-09-09,1,22.967,3,9,9
2017-09-10,1,28.158,3,9,10
2017-09-11,0,10.137,3,9,11
2017-09-12,0,11.331999999999999,3,9,12
2017-09-13,0,18.2,3,9,13
2017-09-14,0,24.048,3,9,14
2017-09-15,0,25.606,3,9,15
2017-09-16,1,33.782000000000004,3,9,16
2017-09-17,1,37.963,3,9,17
2017-09-18,0,25.661,3,9,18
2017-09-19,0,28.808,3,9,19
2017-09-20,0,28.747,3,9,20
2017-09-21,0,21.256,3,9,21
2017-09-22,0,28.064,3,9,22
2017-09-23,1,34.789,3,9,23
2017-09-24,1,34.439,3,9,24
2017-09-25,0,25.876,3,9,25
2017-09-26,0,20.829,3,9,26
2017-09-27,0,23.112,3,9,27
2017-09-28,0,23.112000000000002,3,9,28
2017-09-29,0,27.259999999999998,3,9,29
2017-09-30,1,27.954,3,9,30
2017-10-01,1,8.897,4,10,1
2017-10-02,0,9.185,4,10,2
2017-10-03,0,14.911999999999999,4,10,3
2017-10-04,0,16.727,4,10,4
2017-10-05,0,18.148,4,10,5
2017-10-06,0,20.146,4,10,6
2017-10-07,1,25.739,4,10,7
2017-10-08,1,20.816,4,10,8
2017-10-09,0,18.172,4,10,9
2017-10-10,0,16.467,4,10,10
2017-10-11,0,13.636,4,10,11
2017-10-12,0,11.305,4,10,12
2017-10-13,0,28.734,4,10,13
2017-10-14,1,33.688,4,10,14
2017-10-15,1,31.763,4,10,15
2017-10-16,0,12.908,4,10,16
2017-10-17,0,12.349,4,10,17
2017-10-18,0,12.642,4,10,18
2017-10-19,0,17.078,4,10,19
2017-10-20,0,18.137,4,10,20
2017-10-21,1,23.593,4,10,21
2017-10-22,1,19.901,4,10,22
2017-10-23,0,11.697,4,10,23
2017-10-24,0,12.008,4,10,24
2017-10-25,0,10.419,4,10,25
2017-10-26,0,7.846550505,4,10,26
2017-10-27,0,7.763999999999999,4,10,27
2017-10-28,1,7.7669999999999995,4,10,28
2017-10-29,1,8.517,4,10,29
2017-10-30,0,8.081,4,10,30
2017-10-31,0,8.139999999999999,4,10,31
2017-11-01,0,8.86,4,11,1
2017-11-02,0,14.057,4,11,2
2017-11-03,0,11.628,4,11,3
2017-11-04,1,11.871,4,11,4
2017-11-05,1,19.041,4,11,5
2017-11-06,0,30.985,4,11,6
2017-11-07,0,25.91,4,11,7
2017-11-08,0,19.878,4,11,8
2017-11-09,0,18.65,4,11,9
2017-11-10,0,16.865000000000002,4,11,10
2017-11-11,1,21.588,4,11,11
2017-11-12,1,9.881,4,11,12
2017-11-13,0,13.663,4,11,13
2017-11-14,0,12.210999999999999,4,11,14
2017-11-15,0,13.608,4,11,15
2017-11-16,0,16.207,4,11,16
2017-11-17,0,14.732,4,11,17
2017-11-18,1,11.767,4,11,18
2017-11-19,1,9.817,4,11,19
2017-11-20,0,10.073,4,11,20
2017-11-21,0,10.521,4,11,21
2017-11-22,0,8.943999999999999,4,11,22
2017-11-23,0,5.842,4,11,23
2017-11-24,0,5.5,4,11,24
2017-11-25,1,7.622,4,11,25
2017-11-26,1,11.621,4,11,26
2017-11-27,0,8.209999999999999,4,11,27
2017-11-28,0,8.166,4,11,28
2017-11-29,0,7.938,4,11,29
2017-11-30,0,7.817,4,11,30
2017-12-01,0,9.055,4,12,1
